epoch,train_loss,valid_loss,_rmse,mae,time
0,64.28011322021484,63.29903793334961,7.956068992614746,7.804780006408691,00:00
1,45.61702346801758,31.198341369628906,5.585547924041748,5.381662368774414,00:00
2,8.164759635925293,2.344578266143799,1.5312016010284424,1.2308295965194702,00:00
3,2.3096954822540283,2.084566354751587,1.4438027143478394,1.124287486076355,00:00
4,1.9954789876937866,2.035719394683838,1.4267863035202026,1.1476585865020752,00:00
5,1.909223198890686,2.0087625980377197,1.4173083305358887,1.1205146312713623,00:00
6,1.8260599374771118,1.958878517150879,1.3995994329452515,1.1017156839370728,00:00
7,1.8609434366226196,1.8960025310516357,1.3769540786743164,1.0956315994262695,00:00
8,1.7866548299789429,1.885300874710083,1.3730626106262207,1.0993144512176514,00:00
9,1.7863291501998901,1.8843263387680054,1.3727076053619385,1.098719835281372,00:00
